idx,words,lid,sa
14,"['@_shedopeee' 'CAN' 'I' 'GET' 'A' 'AMEN' '!!!!!!!' 'LIKE' 'DAMNNN' 'MF'
 'HALLELUJAH' '!!!!' 'Ese' 'Guache' 'David' 'se' 'la' 'rifo' '#Shocked'
 '#ItsReal' '#TeAplaudo' '#Keeper']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'ambiguous' 'lang1' 'other' 'lang2' 'ne' 'ne' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang1' 'lang2' 'lang1']",positive
15,"['Misplace' ':' 'Extraviar' '(' 'diferente' 'a' 'perder' ')' '.' 'I'
 'misplaced' 'my' 'keys' '(' 'no' 'las' 'perdiste' ',' 'solo' 'no' 'sabes'
 'donde' 'están']","['lang1' 'other' 'lang2' 'other' 'lang2' 'ambiguous' 'lang2' 'other'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'ambiguous' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",neutral
16,"['Nor' 'should' 'he' 'be' '!' 'Algo' 'así' 'como' '“' 'y' 'no' 'debería'
 '”' 'He' ""'s"" 'not' 'allowed' 'to' 'drink' ',' 'nor' 'should' 'he' 'be'
 '!']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'ambiguous' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other']",neutral
17,"['@princessstacy_' 'son' 'a' 'lot' 'Pero' 'Nomas' '3' 'me' 'Gustaron' '😛'
 'I' 'Uno' 'has' 'a' 'truck' 'el' 'Fue' 'el' 'que' 'came' 'scoop' 'c' ';'
 'haha' 'they' 'cool' '💁' 'especially' 'la' 'Suegra' '(;']","['other' 'lang2' 'lang1' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'other' 'lang1' 'lang2' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'lang1' 'unk' 'other' 'lang1' 'lang1' 'lang1' 'other'
 'lang1' 'lang2' 'lang2' 'other']",positive
18,"['@elizaaaabethhh_' 'lmao' 'its' 'funny' 'cause' 'primero' 'andan'
 'hablando' 'd' 'uno' 'y' 'luego' 'vienen' 'a' 'pedir' 'favores' '&' 'I'
 ""'m"" 'just' 'like' 'nah' 'buscenle' 'x' 'otro' 'lado' '!']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang1'
 'lang1' 'lang1' 'lang1' 'ambiguous' 'lang2' 'lang2' 'lang2' 'lang2'
 'other']",negative
19,"['@james_tornado' '@gmeschin' 'Por' 'ejemplo' '""' 'other' 'than/aparte'
 'de' '""' 'en' 'algunos' 'casos' 'tiene' 'MUCHO' 'más' 'sentido' 'que' '""'
 'otro' 'que' '""' 'saludos' ':)']","['other' 'other' 'lang2' 'lang2' 'other' 'lang1' 'mixed' 'lang2' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other'
 'lang2' 'lang2' 'other' 'lang2' 'other']",positive
20,"['I' 'do' ""n't"" 'want' 'to' 'be' '(' '18' ')' 'but' 'I' 'think' 'you'
 'are' 'way' '(' '19' ')' 'for' 'this' 'position' '(' '18' ':' 'Grosero'
 ')' '(' '19' ':' 'Relajado/perezoso' ')']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'ambiguous'
 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'
 'other' 'lang1' 'lang1' 'lang1' 'other' 'other' 'other' 'lang2' 'other'
 'other' 'other' 'other' 'lang2' 'other']",negative
21,"['@_itskayyyyy' 'no' 'pos' 'wow' ',' 'Fuhk' 'the' '@dolphins' 'tmbim' 'a'
 'Los' 'heats']","['other' 'lang2' 'lang2' 'lang1' 'other' 'lang1' 'lang1' 'other' 'lang2'
 'ambiguous' 'lang2' 'ne']",negative
22,['He' 'already' 'knocked' 'him' 'down' 'in' 'the' 'first' 'no' 'mamar'],"['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'ambiguous' 'lang2']",neutral
23,['@cribhood10' 'Si' 'Kiero' 'Homie' ';' 'b'],['other' 'lang2' 'lang2' 'lang1' 'other' 'unk'],positive
24,"['@juanjeojeda' 'Si' ',' 'es' 'hora' 'punta' ',' 'como' 'en' 'Colombia'
 'decimos' 'hora' 'pico' ',' 'no' 'me' 'atreví' 'a' 'escribirlo' ',' 'no'
 'quería' 'escribir' 'un' 'coloq' ':)' 'salds' 'ty' '!' ':)']","['other' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'ne' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'ambiguous'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang1' 'other' 'other']",positive
25,"['Yo' '!' 'Where' 'the' 'fuck' 'my' 'mom' 'at' '?' 'Traigo' 'Hambre' 'y'
 'Ella' 'de' 'callejera' 'No' '!' 'No' '!' 'No' '!' 'No' '!!!' 'Yo'
 'quiero' 'Breakfast' 'k' 'se' 'venga' 'Home' 'NOW' '!!!' '*' 'Calling'
 'Her' '*' '..']","['lang1' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'other' 'lang1' 'other' 'lang2' 'other' 'lang2' 'lang2' 'lang1'
 'ambiguous' 'lang2' 'lang2' 'lang1' 'lang1' 'other' 'other' 'lang1'
 'lang1' 'other' 'other']",negative
26,['@Monimaravilla19' 'tas' 'wacheando' 'porn' 'o.O' 'ewww' 'lol' 'jj'],['other' 'lang2' 'mixed' 'lang1' 'other' 'lang1' 'lang1' 'lang1'],positive
27,"['@HoeBagg_Shelly' 'it' ""'s"" 'lagging' 'in' 'me' 'too' '#valiendoverg' ','
 'hahaha' 'ni' 'te' 'creo' 'xD' ',' 'this' 'semester' 'gunna' 'fast' 'btw'
 'so' 'the' 'work' 'will' 'pile' 'up']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'other'
 'ambiguous' 'lang2' 'lang2' 'lang2' 'other' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']",positive
28,"['Bitter-Sweet' ':' 'Dulce' 'y' 'amargo' '(' 'agridulce' ')' '.' 'It'
 'was' 'a' 'bitter-sweet' 'moment' 'when' 'my' 'daughter' 'moved' 'out'
 'for' 'college' '.']","['lang1' 'other' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other'
 'lang1' 'lang1' 'ambiguous' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'other']",neutral
29,"['@Yaritzaa__' 'I' 'just' 'came' 'back' 'from' 'the' 'gym' 'and' 'I' ""'m""
 'tired' 'as' 'shit' '😩' ',' 'ima' 'shower' 'eat' 'some' 'enfrijoladas'
 'y' 'a' 'dormir' 'lol']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang2' 'lang2' 'ambiguous' 'lang2' 'lang1']",neutral
30,"['I' '’ve' 'never' 'heard' 'of' 'that' ':' 'No' 'tener' 'conocimiento'
 'sobre' 'algo' 'P1' ':' 'I' 'think' 'I' '’ll' 'buy' 'me' 'a' 'loco'
 'burrito' '.' 'P2' ':' 'Loco' 'burrito' '?' 'I' '’ve' 'never' 'heard'
 'of' 'that']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'ambiguous' 'other' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang1' 'other' 'ne' 'other'
 'lang2' 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1']",positive
31,"['Why' 'tf' 'is' 'everyone' 'on' 'my' 'tl' 'talking' 'about' 'they' 'need'
 'to' 'take' 'a' 'shit' '#nopostacabron' '#pinchescagones']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'unk' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2' 'lang2']",negative
32,"['Onta' 'el' 'guy' 'que' 'Iva' 'Llevar' 'a' 'taco' 'Moore' 'tomorrow' '😦'
 'Nomas' 'me' 'ilusionastes' '😂😁👌']","['ne' 'lang2' 'ambiguous' 'lang2' 'ne' 'lang2' 'lang1' 'lang2' 'ne'
 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'other']",neutral
33,"['Out' 'of' 'my' 'pocket' ':' 'Lo' 'pago' 'de' 'mi' 'bolsillo' '.' 'I'
 '’m' 'paying' 'for' 'my' 'daughter' '’s' 'college' 'straight' 'out' 'of'
 'my' 'pocket' ',' 'no' 'loans' 'or' 'anything' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'ambiguous'
 'lang1' 'lang1' 'lang1' 'other']",neutral
34,['And' 'ima' 'be' 'in' 'here' 'for' '4' 'hours' '#nopostacabron' '#fml'],"['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang2'
 'ambiguous']",neutral
35,"['At' 'the' 'drop' 'of' 'a' 'dime' ':' 'Instantáneamente' 'sin'
 'vacilación' '.' 'Do' 'n’t' 'test' 'me' ',' 'I' '’ll' 'leave' 'you' 'at'
 'the' 'drop' 'of' 'a' 'dime' '.']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang2'
 'lang2' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'ambiguous' 'lang2'
 'other']",negative
36,"['@crystal_jaimes' 'lmao' 'I' 'cant' 'stop' 'laughing' '<<' 'la' 'zombie'
 ',' 'uhh' 'girl' 'I' 'see' 'you' 'getting' 'u' 'shine' 'on' '..' 'ok'
 'nvm' 'bye' '!']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'lang2' 'lang1'
 'other' 'unk' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang1' 'lang1' 'lang1' 'other']",positive
37,"['@DarkLedBetter' 'y' 'observa' 'q' 'las' 'otras' 'silabas' 'tienen' 'un'
 'ə' ',' 'en' 'general' 'las' 'silabas' 'sin' 'acento' 'tienen' 'un' 'ə'
 'o' 'un' 'ɪ' 'community' 'kəˈmyu' 'nɪ' 'ti']","['other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'other' 'lang1' 'unk' 'unk' 'unk']",positive
38,"['@kayytee_14' 'lmao' 'you' 'have' 'to' 'move' 'the' 'cordon' 'a'
 'certain' 'way' 'or' 'else' 'no' 'pasa' 'el' 'corriente' '😂' '?']","['other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang2'
 'ambiguous' 'lang1' 'lang1' 'lang1' 'lang1' 'ambiguous' 'lang2' 'lang2'
 'lang2' 'other' 'other']",neutral
39,['@Milyl15' 'no' 'pos' 'wow' '😂😋👌'],['other' 'ambiguous' 'lang2' 'lang1' 'other'],positive
40,['@_BBonjour' 'shop' 'online' 'seca' ':' 'b'],['other' 'lang1' 'lang1' 'lang2' 'other' 'unk'],positive
41,"['Cuando' 'ellos' 'dicen' '""' 'late' '""' 'no' 'dicen' 'leɪt' 'ni' 'leɪ'
 'dicen' 'una' 't' '""' 'muda' '""' ',' 'les' 'voy' 'a' 'avisar' 'cuando'
 'lo' 'tenga' 'actualizado' 'en' 'la' 'web' ':)']","['lang2' 'lang2' 'lang2' 'other' 'lang1' 'other' 'lang2' 'lang2' 'unk'
 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang1' 'other']",positive
42,"['Rodeo' 'tonight' '...' 'aver' 'k' 'tal' 'me' 'ba' 'esta' 'ves' '!!' '!'
 '__-']","['ambiguous' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other' 'other' 'other']",positive
43,"['@EliZaIBQ' 'mess' 'up' 'significa' 'muchas' 'cosas' ',' 'allí'
 'significa' 'algo' 'así' 'como' 'hmmm' '""' 'joderle' 'la' 'vida' '""'
 'sorry' ',' 'sorry' ',' 'no' 'encuentro' 'otra' 'palabra' ':)']","['other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'unk' 'other' 'lang2' 'lang2' 'lang2' 'other'
 'lang1' 'other' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",negative
44,"['My' 'nieghbors' 'are' 'like' 'the' 'loudest' 'family' 'in' 'the' 'whole'
 'apt' '#callate']","['lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'lang1' 'lang2']",positive
45,"['RT' '@_tetanic' ':' 'la' 'gente' 'jura' 'que' 'uno' 'no' 'se' 'cansa'
 'y' 'estará' 'siempre' 'aguantando' 'todo' ',' 'mmmm' 'not' '.']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'unk'
 'lang1' 'other']",negative
46,"['RT' '@andyescalona' ':' '#70sbaby' '#styling' '@angieestilo' '&'
 '@beatrizmiami' '#vestido' '#BCBG' '#mascada' '#' '#RalphLauren'
 '#zapatos' '…' 'http://t.co/I04jbqVt52']","['other' 'other' 'other' 'other' 'lang1' 'other' 'other' 'other' 'lang2'
 'unk' 'lang2' 'other' 'ne' 'lang2' 'other' 'other']",neutral
47,"['Acabo' 'de' 'terminar' '!' 'El' 'rap' 'del' 'Tag' 'del' 'Youtuber' '!'
 'Que' 'fucking' 'cansancio' '!']","['lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2'
 'lang1' 'other' 'lang2' 'lang1' 'lang2' 'other']",negative
48,['Que' 'fkn' 'stress'],['lang2' 'lang1' 'lang1'],negative
49,"['En' 'casa' 'me' 'paso' 'en' 'sport' 'bra' 'porque' 'este' 'calor' 'de'
 'mierda' 'no' 'lo' 'aguanta' 'nadieeeee']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",negative
50,"['RT' '@meechonmars' ':' 'This' 'Scene' 'Will' 'Make' 'You' 'Sad' 'No'
 'Matter' 'What' 'https://t.co/vxH3JJFhmF']","['other' 'other' 'other' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang2' 'lang1' 'lang1' 'other']",negative
51,"['RT' '@christiiaan_55' ':' 'Yo' 'prefiero' 'quemar' 'todo' 'porque' 'aja'
 'después' 'quien' 'recoge' 'eso' '?' 'El' 'bichhhhhh'
 'https://t.co/spMoHPkza1']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'other']",negative
52,['gringos' 'be' 'eating' 'so' 'early' '..' '.'],['lang2' 'lang1' 'lang1' 'lang1' 'lang1' 'other' 'other'],negative
53,"['El' 'video' 'de' 'zomber' 'Girl' 'va' 'a' 'tardar' 'mas' 'de' '5'
 'horas' 'en' 'renderizarse' 'por' 'estar' 'grabado' 'en' '5K' '..' '.'
 'y' 'ahora' 'que' 'asemoh' '?.' '..' 'no' 'matamo' '?']","['lang2' 'lang2' 'lang2' 'ne' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'other'
 'lang2' 'lang2' 'other']",negative
54,"['RT' '@jgwo_' ':' 'Siempre' 'quieren' 'buscarle' 'justificación' 'a'
 'las' 'cosas' 'mas' 'crueles' ',' 'mera' 'missed' 'me' 'with' 'that'
 'bullshit' ',' 'educate' 'y' 'después' 'habla' '.']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'lang1' 'lang1' 'lang1'
 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'other']",negative
55,"['RT' '@yaramrt' ':' 'Mi' 'mejor' 'amiga' 'se' 'pasa' 'dando' 'rt' 'a'
 'tweets' 'que' 'dicen' '""' 'Yo' 'siempre' 'contesto' 'rápido' '""' ';'
 'al' 'jevo' 'será' 'porque' 'a' 'mi' 'hasta' 'me' 'ignora']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2'
 'lang2' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2']",negative
56,"['RT' '@artdaiIy' ':' 'Anna' 'Karina' 'and' 'Jean-Paul' 'Belmondo' 'in'
 '""' 'Pierrot' 'le' 'fou' '""' '(' '1965' ')' '.' 'https://t.co/JMUBFRyLzL']","['other' 'other' 'other' 'ne' 'ne' 'lang1' 'ne' 'ne' 'lang1' 'other' 'ne'
 'lang2' 'fw' 'other' 'other' 'other' 'other' 'other' 'other']",neutral
57,"['RT' '@Chicamedusaa' ':' '@YellowMellowMG' 'melo' 'sin' 'poder' 'subir'
 'el' 'vlog' 'https://t.co/dJAgkBGEnB']","['other' 'other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'other']",negative
58,"['La' 'gente' 'en' 'la' 'uni' 'que' 'van' 'un' 'día' 'normal' 'medios'
 'disfrazados' ',' 'en' 'Halloween' 'se' 'botan']","['lang2' 'lang2' 'lang2' 'lang2' 'lang1' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang1' 'lang2' 'lang2']",negative
59,"['@TransitoPR' 'cuidado' 'en' 'Rexville' 'plaza' 'aparente' 'asesinato'
 'en' 'el' 'Parking' 'por' 'popeyes' '.']","['other' 'lang2' 'lang2' 'ne' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang1' 'lang2' 'ne' 'other']",negative
60,"['RT' '@jincho236' ':' '🚨' 'RT' '🚨' 'RT' '🚨' 'RT' '🚨' 'Si' 'lo' 'han'
 'visto' 'Por' 'Favor' ',' 'comuniquense' 'DM' 'o' 'Llamen' ',' 'Gracias'
 '🚨' 'RT' '🚨' 'RT' '🚨' 'RT' '🚨' 'https://t.co/ouwaQ77GRE']","['other' 'other' 'other' 'other' 'other' 'other' 'other' 'other' 'other'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'other' 'lang2'
 'lang1' 'lang2' 'lang2' 'other' 'lang2' 'other' 'other' 'other' 'other'
 'other' 'other' 'other' 'other']",negative
61,"['RT' '@amgarcia10' ':' '""' 'Senior' 'year' 'es' 'un' 'paseo' '""' 'QUIEN'
 'CARAJO' 'DIJO' 'SEMEJANTE' 'MENTIRA']","['other' 'other' 'other' 'other' 'lang1' 'lang1' 'lang2' 'lang2' 'lang2'
 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2']",negative
62,"['RT' '@isabella_orm' ':' 'Ideas' 'de' 'promposal' 'de' 'mis' 'amigas' '='
 'public' 'humiliation']","['other' 'other' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'other' 'lang1' 'lang1']",negative
63,['@AEEONLINE' 'SANTA' 'ROSA' 'I' 'SEC' 'LOS' 'LOPEZ' 'SIN' 'LUZ' '!!' '!'],"['other' 'lang2' 'ne' 'lang1' 'lang1' 'lang2' 'ne' 'lang2' 'lang2' 'other'
 'other']",negative
64,"['He' 'tenido' 'problemas' 'con' 'los' 'planos' 'de' 'Gopro' 'que' 'tengo'
 'para' 'el' 'vlog' '.' 'Tengo' 'que' 'recuperarlos' 'y' 'va' 'a' 'tardar'
 ',' 'así' 'que' 'EL' 'VLOG' 'SE' 'SUBE' 'MAÑANA' '.']","['lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2' 'ne' 'lang2'
 'lang2' 'lang2' 'lang2' 'lang1' 'other' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'lang2' 'other' 'lang2' 'lang2' 'lang2' 'lang2' 'lang2'
 'lang2' 'lang2' 'other']",negative
